"wyears" "q_depth_in" "q_maf" "avg_p_in" "re" "basin_tmean_C" "basin_tmean_anom" "basin_tmax_C" "basin_tmax_anom" "basin_tmin_C" "basin_tmin_anom"
1906 3.05478723166368 18.214678 18.6559137775531 0.163743640117978 6.17953610234237 -1.02370010907948 13.8470308704241 -0.994280122354789 -1.50595035308998 -0.944651557874669
1907 3.56120947003578 21.234305 17.9542999960479 0.198348555544893 7.14164988362188 0.254418880153539 14.5679354892385 -0.0946986494809543 -0.367935747778162 0.458108966456523
1908 1.97461180679785 11.773952 14.9657503982539 0.131942051300564 6.50957737720303 -0.585257142314067 14.4768300313198 -0.208384676567468 -1.51279431458479 -0.953087687753979
1909 3.66303002012522 21.841427 19.5570962170193 0.187299278966451 6.07546884004039 -1.16194814864998 13.6551054797502 -1.23377439263463 -1.51009323428298 -0.949758232400122
1910 2.4714898255814 14.73667 12.5423313665593 0.197051868057875 7.02625711465237 0.101125483769616 15.173166596257 0.66053952831864 -1.25823961300868 -0.639313782755598
1911 2.5366303108229 15.125081 17.0970060114354 0.148366930977638 7.37766410481644 0.567951711412476 15.0361881369037 0.48961083539444 -0.313273322981435 0.525487971357836
1912 3.20026727415027 19.082127 15.7464961834327 0.203236785940821 5.2299232437585 -2.28521226137583 12.8716343856334 -2.21142949763129 -2.46011754924247 -2.12079470237127
1913 2.42713416815742 14.472192 13.9821697275372 0.173587806145516 5.69559963497994 -1.66658497421018 13.5573091022933 -1.35580968964666 -2.22897587438336 -1.83588059361841
1914 3.53311163908766 21.066767 18.1197871389728 0.194986376605301 6.47988293782858 -0.624704687477215 14.0074450386036 -0.794107159226779 -1.11338430851713 -0.460759569187272
1915 2.37102018112701 14.137603 15.6031524425138 0.15195776557734 6.11205094787092 -1.11335068793989 13.924069805022 -0.89814701896563 -1.75960336015945 -1.25731399958162
1916 3.21794644454383 19.187542 15.7162749481251 0.204752490979277 6.62185095958608 -0.436107425903026 14.5743400362259 -0.0867067297988532 -1.42596087698311 -0.846053456478682
1917 3.99976391994633 23.849259 16.7712478716742 0.238489345011812 4.93174420405978 -2.68132787706046 12.6435881802735 -2.49599715879892 -2.87388623770049 -2.63082188450411
1918 2.64155702146691 15.750724 13.7140686946175 0.192616580847642 7.38470011056845 0.577298685476224 15.2795514114393 0.793291915022069 -0.528450621836857 0.260252165808666
1919 2.17209341457961 12.951469 13.8274975852782 0.157085069166252 6.87764954259058 -0.0962920810670368 14.5496304054261 -0.117540664675872 -0.917717467440209 -0.21957310347572
1920 3.67754516994633 21.927976 16.9138995184837 0.217427398449864 5.90789208215382 -1.38456530742728 13.2840731256258 -1.69676744732741 -1.59998564558715 -1.060563072185
1921 3.8075363372093 22.70307 17.2275321854578 0.221014611740116 6.78171236129415 -0.223739723512596 14.2740310575255 -0.461447557261997 -0.751858201959591 -0.0151286006329573
1922 3.1067341234347 18.52442 15.0503821551587 0.206422274956642 6.88415768414261 -0.087646347616251 14.6944752731411 0.0632041329528455 -0.976015677409967 -0.29143371686595
1923 3.0737032647585 18.327468 16.83528113828 0.182575107567971 6.33913361866432 -0.811682964938547 13.8723450212173 -0.962691836663719 -1.21121911775624 -0.581354513808827
1924 2.45711236583184 14.650942 11.3923013037807 0.215681827605492 6.14535827718768 -1.06910360312651 14.1117938838579 -0.66389535941766 -1.82405180240262 -1.33675562556021
1925 2.26650905635063 13.514438 15.9828785720085 0.141808563841564 6.62114962576657 -0.43703911204031 14.3168329315357 -0.408037200525641 -1.08693426334611 -0.428156227314952
1926 2.72506026386404 16.248626 15.0142980204174 0.181497680421577 7.1562585107194 0.27382569467305 14.8101101300589 0.207499192502885 -0.49064174678336 0.306856837793419
1927 3.13446416592129 18.689765 19.1472505954514 0.163703094096753 6.97120553517778 0.0279922738698777 14.439687232945 -0.254733350714791 -0.524771748917134 0.264786885909559
1928 2.98031115831843 17.770602 12.6609294756081 0.23539434162872 6.988130058915 0.0504756387204449 14.9019447253982 0.322095074371353 -0.914420765709246 -0.215509462264875
1929 3.6545990608229 21.791156 18.6074789286284 0.196404847472386 5.84521497468566 -1.46782864156092 13.4045366696125 -1.54644690630303 -1.69844169062375 -1.18192377591804
1930 2.53755103980322 15.130571 14.2655433842244 0.177879732405384 6.73487348274479 -0.28596277994642 14.7237239450319 0.0997021143118816 -1.26677257097011 -0.649831834569875
1931 1.48736840339893 8.86868200000002 11.0357781462317 0.134776939486302 6.70171871919433 -0.330007188936204 14.9019269973405 0.322072952398662 -1.65155057774221 -1.12412398865243
1932 2.98683625894454 17.809509 16.1780341278603 0.184622942153453 5.9411148532671 -1.34043055386585 13.8473351543317 -0.993900421408742 -1.98331259742689 -1.53306660020928
1933 2.06497271914132 12.312744 12.7240042447037 0.162289533972834 5.81976521208371 -1.50163735055765 14.0081217319944 -0.793262746774344 -2.45969184764595 -2.1202699662282
1934 1.10515988372093 6.5897 10.3293399111701 0.106992304757617 9.00786281558586 2.73358738673419 17.5060250436771 3.57159902685196 0.42763826623071 1.43876406159001
1935 2.05427213774597 12.24894 14.6313425211414 0.140402163012565 7.35654078736721 0.539890463696487 15.2818323110459 0.796138137634577 -0.602465666003448 0.16901837875628
1936 2.43539221824687 14.521432 15.609335349339 0.156021519414021 7.29508179090341 0.458245327780098 15.2916111242124 0.808340638383989 -0.713776660784855 0.0318121700885004
1937 2.37463450357782 14.159154 15.984958221221 0.148554314044146 6.23477457654353 -0.950318619086827 14.232826458446 -0.512864753048775 -1.81264586037622 -1.32269622320915
