"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 449.6425 482.0525 630.725 819.3275 859.44875 10.01375 10.36 11.81375 13.21875 13.40125 -1.39999999999998 -0.983749999999965 0.401250000000026 1.70250000000003 2.04000000000003
1983 416.9675 467.475 624.19375 783.2275 842.89625 10.1675 10.46875 11.89125 13.16375 13.555 -1.12124999999996 -0.844999999999992 0.483750000000036 1.73250000000002 1.92875000000002
1984 442.30625 483.24875 616.94125 775.335 814.29 10.4875 10.77875 12.13 13.32125 13.62875 -1.01749999999998 -0.748749999999966 0.737500000000026 1.92750000000002 2.10875000000002
1985 439.43875 481.745 637.81125 813.305 841.9925 10.335 10.57875 11.96375 13.445 13.67625 -1.04624999999997 -0.588749999999969 0.79500000000003 1.94750000000003 2.14750000000003
1986 459.49375 489.6375 637.9925 787.9925 827.6525 10.1225 10.40125 11.9475 13.205 13.46875 -1.54624999999998 -0.971249999999969 0.660000000000018 1.79750000000001 1.98750000000001
1987 459.135 496.01625 638.985 797.37125 826.53125 9.91500000000003 10.12 11.725 13.08 13.4175 -1.25874999999998 -1.04624999999998 0.463750000000033 1.71750000000002 1.96875000000004
1988 458.19375 489.835 633.74625 788.62 820.2125 10.2975 10.44375 11.89 13.20625 13.525 -0.928749999999972 -0.739999999999981 0.675000000000018 1.86000000000003 2.08750000000002
1989 457.28875 480.145 624.25 804.2225 830.9075 10.0775 10.505 11.93875 13.345 13.6875 -1.34874999999997 -1.10624999999997 0.751250000000027 1.93000000000001 2.20750000000002
1990 437.2725 477.51375 628.13875 808.14 860.36875 10.125 10.515 11.9275 13.63625 14.19125 -1.12874999999998 -0.804999999999978 0.695000000000022 2.08375000000002 2.54875000000003
1991 467.05375 483.0575 629.88875 803.35 849.7375 10.25625 10.5775 12.05375 13.5325 13.66125 -1.18999999999998 -0.731249999999967 0.757500000000022 1.95500000000002 2.30750000000002
1992 472.4525 498.8425 628.41 779.5025 830.13625 10.2625 10.4925 12.01875 13.35125 13.53125 -1.15249999999998 -0.81374999999997 0.768750000000033 1.93750000000003 2.25625000000002
1993 457.86625 482.53375 623.28125 801.2925 845.91875 10.44 10.7175 12.2125 13.615 13.86625 -0.832499999999975 -0.574999999999974 0.925000000000018 2.27500000000001 2.45250000000002
1994 455.8575 474.3075 628.185 786.24375 824.26 10.71125 10.96875 12.30625 13.585 13.9025 -0.562499999999972 -0.406249999999972 0.956250000000018 2.15000000000003 2.33125000000002
1995 461.55625 493.92875 632.67125 789.555 816.37375 10.67 10.95125 12.345 13.7025 13.95375 -0.77499999999997 -0.561249999999987 0.976250000000029 2.21875000000002 2.43250000000003
1996 445.57375 465.53 620.3725 786.535 841.135 10.57375 10.895 12.425 13.9375 14.31375 -0.90749999999997 -0.577499999999972 1.09750000000003 2.30250000000002 2.61875000000003
1997 426.93 481.1475 631.6025 798.94375 829.96875 10.745 10.935 12.4175 13.815 14.10375 -0.799999999999983 -0.494999999999969 1.02000000000002 2.25250000000003 2.52125000000002
1998 453.445 487.105 619.615 773.57625 808.4375 10.705 11.05875 12.44625 13.60125 14.08375 -0.956249999999983 -0.429999999999978 0.930000000000028 2.04875000000003 2.37750000000002
1999 428.22375 461.19875 617.1525 771.3075 823.20875 10.9525 11.16 12.635 14.105 14.38 -0.512499999999982 -0.239999999999981 1.16000000000003 2.41375000000003 2.56875000000002
2000 430.31125 447.4025 611.05375 775.3575 821.07125 10.8375 11.15 12.685 13.90375 14.30375 -0.80374999999998 -0.282499999999978 1.22750000000002 2.41625000000002 2.63375000000002
2001 469.27875 495.705 627.39 804.29 838.92375 10.91125 11.16 12.62125 13.86375 14.04625 -0.422499999999978 -0.00124999999997044 1.25500000000002 2.35000000000002 2.51375000000002
2002 444.03625 491.44375 640.45 803.57125 861.17 10.92 11.23 12.60125 13.93875 14.3975 -0.44374999999998 -0.006249999999973 1.29000000000003 2.49250000000002 2.86375000000002
2003 457.7375 486.22 622.87375 809.45375 857.6925 10.7975 11.215 12.675 14.0625 14.41125 -0.374999999999979 -0.0874999999999844 1.32125000000002 2.44750000000002 2.76125000000003
2004 438.76875 474.59375 629.58125 802.60375 848.4375 10.89 11.24 12.745 14.0075 14.1575 -0.356249999999989 -0.0724999999999838 1.30500000000003 2.44000000000002 2.62750000000003
2005 436.985 477.5575 634.9025 787.91375 823.0725 11.04375 11.48 12.73375 14.16 14.37375 -0.459999999999972 -0.0837499999999736 1.35000000000001 2.67125000000002 2.82750000000003
2006 475.08125 502.26375 635.91625 810.445 880.55375 10.79125 11.0525 12.8175 14.035 14.2275 -0.514999999999979 -0.11249999999999 1.42625000000002 2.56750000000001 2.75625000000002
2007 476.60625 506.65 636.5125 807.09125 848.54 11.18875 11.305 12.88125 14.11875 14.3375 -0.22499999999998 -0.0399999999999778 1.48125000000002 2.69125000000002 2.84750000000001
2008 442.93625 473.66875 630.9975 805.78125 837.62375 11.2375 11.36375 12.82625 14.47375 14.8275 -0.489999999999974 -0.10374999999997 1.49625000000002 2.86500000000003 3.05875000000002
2009 470.915 491.96 634.84875 791.24625 838.865 11.20125 11.4125 12.91625 14.345 14.595 -0.49124999999998 -0.0162499999999781 1.53000000000002 2.68375000000002 3.00500000000002
