"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 408.15 438.74 564.58 748.75 840.89 10.87 11.61 12.44 13.62 13.67 -0.629999999999995 -0.549999999999955 1 1.89000000000004 1.93000000000001
1983 500.81 520.5 621.6 788.47 793.31 10.46 10.68 11.67 12.96 13.11 -0.359999999999957 -0.329999999999984 0.400000000000034 1.81 1.84000000000003
1984 376.38 428.67 560.73 725.53 739.07 10.62 11.42 12.72 13.5 13.83 -1.06 -0.789999999999964 0.850000000000023 1.81 2.03000000000003
1985 458.55 472.99 607.21 728.09 730.83 10.76 11.5 12.6 13.6 14.5 -0.310000000000002 0.200000000000045 1.32000000000005 2.06 2.52000000000004
1986 480.02 493.95 632.32 796.09 867.04 10.33 11.3200000000001 12.55 13.91 14.08 -0.5 -0.329999999999984 1.01000000000005 2.74000000000001 2.75
1987 530 549.19 700.52 834.48 865.89 10.42 10.43 11.76 12.92 13.09 -0.759999999999991 -0.729999999999961 0.510000000000048 1.82000000000005 1.94
1988 451.85 453.6 599.03 703.76 757.15 11.55 11.5700000000001 12.76 13.86 14.22 -0.5 0.129999999999995 1.19 2.39000000000004 2.64000000000004
1989 371.29 431.96 570.66 771.46 786.3 11.34 11.87 12.98 13.71 14.25 -0.120000000000005 -0.0399999999999636 1.27000000000004 2.18000000000001 2.57000000000005
1990 429.41 477.47 586.38 688.81 703.24 11.5 12.08 13.0700000000001 14.35 14.43 -0.129999999999995 -0.0299999999999727 1.41000000000003 2.53000000000003 2.79000000000002
1991 424.71 437.43 575.63 693.13 800.04 10.79 11.6 12.84 13.97 14.02 -0.769999999999982 -0.0699999999999932 1.08000000000004 2.43000000000001 2.86000000000001
1992 478.44 479.81 641.9 783.74 784.33 10.31 10.5700000000001 11.86 12.89 13.04 -1.31 -0.479999999999961 1.01000000000005 1.58000000000004 1.93000000000001
1993 476.43 485.94 611.82 759.99 770.03 11.08 11.14 12.54 13.75 13.83 -0.609999999999957 -0.359999999999957 1.5 2.60000000000002 2.68000000000001
1994 493.92 495.55 630.05 736.52 781.55 11.51 11.66 12.59 13.85 13.94 0.340000000000032 0.390000000000043 1.34000000000003 2.53000000000003 2.66000000000003
1995 410.31 480.9 615.79 749.66 762.65 10.8200000000001 11.19 12.68 13.91 14.09 -0.299999999999955 -0.21999999999997 1.16000000000003 2.29000000000002 2.49000000000001
1996 385.82 387.72 543.89 698.96 731.79 10.95 11.83 13.13 14.3 15.18 -1.03999999999996 -0.609999999999957 1.30000000000001 2.60000000000002 2.70000000000005
1997 497.9 502.09 613.88 788.43 859.75 11.34 11.37 12.75 13.94 14.24 -0.439999999999998 -0.329999999999984 1.32000000000005 2.64000000000004 2.80000000000001
1998 441.84 484.4 566.46 710.45 728.91 11.13 11.46 12.36 13.06 13.42 -0.560000000000002 -0.279999999999973 0.520000000000039 1.76000000000005 2
1999 431.76 438.35 534.27 697.49 740.26 11.28 11.34 13.41 14.42 14.52 -0.239999999999952 -0.139999999999986 1.46000000000004 2.30000000000001 2.32000000000005
2000 414.92 419.85 524.7 658.52 684.01 12.08 12.11 13.37 14.19 14.42 -0.529999999999973 0.270000000000039 1.38 2.40000000000003 2.46000000000004
2001 386.03 402.83 528.8 676.45 699.79 11.66 12.1 13.3 14.48 14.65 -0.269999999999982 0.490000000000009 1.65000000000003 2.55000000000001 2.62
2002 365.89 480.85 631.4 784.26 803.85 11.56 12 13.14 14.5700000000001 14.64 -0.310000000000002 0.520000000000039 1.98000000000002 2.61000000000001 2.72000000000003
2003 445.8 468.38 576.24 728.95 869.36 11.68 11.86 13.18 14.7 14.75 0.0500000000000114 0.379999999999995 1.41000000000003 2.62 3.38
2004 423.51 434.05 596.21 692.16 736.55 11.64 11.73 13.16 14.16 14.39 0.0500000000000114 0.129999999999995 1.45000000000005 2.44 2.58000000000004
2005 444.96 459.32 598.91 686.64 698.53 11.5700000000001 11.89 12.87 13.99 14.1 -0.120000000000005 0.230000000000018 1.37 2.42000000000002 2.71000000000004
2006 459.97 460.95 578.24 722.16 798.62 11.37 11.69 13.33 14.15 14.39 -0.329999999999984 -0.109999999999957 1.71000000000004 2.37 2.40000000000003
2007 482.29 498.88 597.75 727.96 774.71 11.92 12.04 13.33 13.91 13.98 0.490000000000009 0.620000000000005 1.74000000000001 2.82000000000005 2.87
2008 385.36 419.17 511.26 683.5 760.11 12.49 12.51 13.77 14.86 15.05 0.490000000000009 0.740000000000009 1.83000000000004 2.71000000000004 2.76000000000005
2009 408.9 414.92 528.12 667.96 676.26 12.09 12.37 13.78 15.24 15.69 -0.339999999999975 -0.149999999999977 1.67000000000002 3.01000000000005 3.22000000000003
2010 409.53 420.44 582.4 684.36 685.88 11.54 11.86 13.34 14.56 14.67 -0.379999999999995 0.129999999999995 1.59000000000003 2.56 2.68000000000001
2011 308.66 345.31 499.81 633.39 636.75 11.97 12.1 13.94 15.22 15.37 0.0300000000000296 0.220000000000027 1.79000000000002 2.77000000000004 2.95000000000005
2012 415.69 423.87 549.28 690.34 766.73 11.97 12.41 13.37 15.06 15.16 0.370000000000005 0.410000000000025 1.64000000000004 3.13 3.32000000000005
2013 483.49 484.25 586.95 701.24 716.14 12.51 12.56 13.35 14.35 14.81 0.170000000000016 0.890000000000043 1.56 2.65000000000003 2.82000000000005
2014 432.49 459.53 608.96 769.47 803.93 12.21 12.27 13.46 14.67 15.15 0.420000000000016 0.560000000000002 1.76000000000005 3.01000000000005 3.28000000000003
2015 532.86 534.99 634.48 777.83 817.24 12 12 13.26 14 14.24 0.510000000000048 0.629999999999995 1.93000000000001 2.87 2.94
2016 445.47 484.67 601.12 735.35 739.8 11.71 12.15 13.51 14.06 14.14 0.379999999999995 0.450000000000045 1.98000000000002 2.95000000000005 3.08000000000004
2017 443.36 516.62 610.67 718.89 748.3 12.29 12.67 13.73 14.68 14.9 0.700000000000045 0.800000000000011 2.17000000000002 3.23000000000002 3.45000000000005
2018 448.88 476.55 581.18 770.19 784.86 12.41 12.58 14.26 15.24 15.34 0.920000000000016 1.05000000000001 2.29000000000002 3.26000000000005 3.44
