"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 413.66 439.51 603.12 799.87 899.86 10.24 10.705 12.075 13.335 13.395 -1.035 -0.769999999999953 0.700000000000017 1.76500000000004 1.91000000000003
1983 437.205 470.33 613.77 782.88 802.675 10.205 10.725 11.805 13.2 13.46 -0.829999999999956 -0.764999999999986 0.430000000000035 1.76500000000001 1.90500000000003
1984 401.705 430.39 543.87 688.765 725.57 10.805 11.445 12.66 13.625 14.15 -0.899999999999977 -0.764999999999958 0.945000000000022 1.93000000000001 2.19500000000002
1985 426.255 441.37 608.925 768.555 788.535 10.685 11.075 12.57 13.75 14.245 -0.449999999999989 -0.149999999999977 1.24500000000003 2.02500000000001 2.54500000000004
1986 464.5 479.73 606.69 786.575 824.335 10.47 11 12.445 13.6 13.74 -1.13499999999999 -0.244999999999976 0.935000000000031 2.26000000000002 2.39000000000001
1987 510.105 519.79 672.655 806.415 827.82 10.03 10.035 11.76 12.955 13.115 -1.25999999999999 -0.819999999999965 0.510000000000048 1.73000000000005 1.91500000000002
1988 438.935 465.065 590.68 702.575 752.905 11.215 11.26 12.63 13.765 14.355 -0.519999999999982 -0.0349999999999966 1.125 2.27500000000003 2.59500000000003
1989 413.85 459.905 566.395 742.63 764.95 11.01 11.76 12.865 13.81 14.11 -0.375 -0.32499999999996 1.28500000000003 2.23500000000001 2.53000000000003
1990 472.315 511.93 618.145 744.845 784.27 10.995 11.395 12.52 13.865 13.945 -0.314999999999998 -0.179999999999978 1.10500000000002 2.55000000000004 3.02500000000003
1991 458.975 465.93 605.645 736.12 798.81 10.515 10.93 12.35 13.595 13.64 -0.714999999999975 -0.244999999999976 0.810000000000031 2.17500000000001 2.495
1992 454.875 479.275 626.54 820.375 854.5 10.33 10.485 11.85 13.075 13.205 -1.215 -0.414999999999964 0.805000000000035 1.71500000000003 2.17000000000002
1993 481.45 494.485 603.355 756.325 820.635 10.575 10.72 12.445 13.79 13.945 -0.939999999999969 -0.554999999999978 1.22 2.53500000000003 2.655
1994 475.63 487.26 622.035 732.445 785.8 11.415 11.495 12.525 13.775 13.995 -0.00999999999996248 0.0550000000000352 1.12500000000003 2.22000000000003 2.43000000000004
1995 449.15 485.455 597.135 749.065 760.25 10.935 11.2 12.56 13.9 14.095 -0.614999999999952 -0.45999999999998 1.03000000000003 2.13500000000002 2.35000000000002
1996 385.625 405.38 551.615 720.015 766.695 11.145 11.615 13.045 14.34 14.83 -0.814999999999969 -0.269999999999953 1.31000000000003 2.67500000000001 2.84000000000003
1997 445.335 486.145 630.1 794.18 836.375 10.995 11.18 12.555 13.775 14.055 -0.664999999999992 -0.169999999999987 1.08500000000004 2.52500000000003 2.70500000000001
1998 398.615 438.105 545.295 705.465 715.23 11.41 11.58 12.72 13.665 13.975 -0.324999999999989 -0.109999999999985 0.830000000000041 1.79000000000005 2.01500000000001
1999 408.02 413.11 551.205 701.475 731.43 11.06 11.465 13.175 14.705 14.955 -0.424999999999955 -0.10499999999999 1.31000000000003 2.54500000000002 2.74500000000003
2000 411.34 415.85 548.715 676.26 690.12 11.495 11.86 13.26 14.205 14.485 -0.514999999999986 0.0250000000000341 1.32500000000002 2.50000000000003 2.81500000000003
2001 425.07 436.83 556.8 747.25 786.065 11.245 11.81 13.145 14.335 14.42 -0.154999999999973 0.315000000000026 1.52500000000003 2.54500000000002 2.62
2002 427.325 488.955 637.92 769.265 797.91 11.415 11.77 12.81 14.21 14.385 -0.0249999999999773 0.445000000000022 1.62000000000003 2.59500000000003 2.77000000000004
2003 415.785 446.84 579.57 752.725 823.055 11.56 11.695 13.12 14.365 14.915 -0.194999999999993 0.210000000000008 1.37500000000003 2.70500000000001 3.17500000000001
2004 424 443.01 577.995 707.735 741.155 11.145 11.755 13.105 14.43 14.61 -0.0999999999999943 0.170000000000016 1.50000000000003 2.64000000000001 2.73500000000004
2005 441.645 455.965 601.41 716.505 736.57 11.45 11.83 13.085 14.155 14.385 -0.174999999999983 0.0400000000000205 1.625 2.62000000000003 2.77000000000004
2006 454.265 461.94 606.74 775.225 887.785 10.93 11.35 13.22 14.405 14.67 -0.329999999999984 0.0400000000000205 1.71000000000004 2.64500000000001 2.66500000000002
2007 491.1 499.715 605.24 753.855 778.38 11.725 11.83 13.18 14.14 14.245 0.325000000000017 0.39500000000001 1.71000000000001 2.90000000000003 2.96000000000001
2008 403.565 422.225 540.44 693.89 743.335 12.235 12.265 13.44 14.835 15.105 0.315000000000026 0.505000000000024 1.76000000000002 2.67500000000004 2.79000000000005
2009 388.875 429.655 562.035 710.87 729.26 11.785 12.05 13.545 14.975 15.545 -0.0599999999999739 0.355000000000018 1.67500000000001 2.84000000000003 2.98500000000001
2010 406.2 422 575.16 712.43 726.12 11.705 11.97 13.41 14.475 14.985 -0.144999999999982 0.150000000000006 1.68500000000003 2.70000000000002 2.88500000000002
