"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 441.636 481.646 623.456 811.514 860.032 10.11 10.404 11.918 13.244 13.342 -1.31199999999999 -0.931999999999971 0.476000000000022 1.69400000000004 1.91600000000002
1983 442.382 468.974 615.368 774.864 836.596 10.27 10.622 11.972 13.194 13.494 -0.919999999999959 -0.633999999999992 0.50600000000004 1.78600000000001 1.91600000000002
1984 421.312 472.652 599.664 762.31 797.846 10.612 10.996 12.304 13.528 13.952 -0.843999999999983 -0.727999999999963 0.886000000000024 2.06600000000001 2.27400000000002
1985 423.888 480.4 633.946 801.874 817.494 10.53 10.808 12.17 13.542 13.864 -0.807999999999981 -0.385999999999967 0.944000000000028 2.02400000000002 2.29600000000003
1986 465.202 484.838 627.456 786.256 826.882 10.41 10.658 12.232 13.538 13.782 -1.35199999999999 -0.649999999999977 0.852000000000021 2.04600000000001 2.23800000000001
1987 470.958 494.594 638.928 786.446 815.248 10.18 10.312 11.992 13.244 13.394 -1.05199999999998 -0.847999999999968 0.700000000000034 1.83600000000002 1.97800000000003
1988 461.81 487.16 624.708 780.012 820.262 10.468 10.612 12.15 13.37 13.788 -0.767999999999972 -0.527999999999986 0.87600000000001 2.03400000000003 2.27800000000002
1989 463.732 488.46 621.718 802.536 834.922 10.176 10.552 11.946 13.296 13.668 -1.29599999999998 -1.10199999999996 0.810000000000025 1.89600000000002 2.19000000000002
1990 443.806 486.26 624.062 819.664 856.112 10.124 10.524 11.904 13.522 13.986 -1.20999999999999 -0.851999999999975 0.668000000000018 2.05600000000003 2.53400000000003
1991 463.35 479.568 618.714 793.41 830.08 10.278 10.56 12.084 13.49 13.592 -1.09599999999998 -0.661999999999966 0.738000000000022 1.97400000000001 2.34600000000002
1992 455.58 488.548 626.792 778.402 810.32 10.282 10.51 12.034 13.378 13.614 -1.07999999999998 -0.65799999999997 0.810000000000036 1.97800000000003 2.33200000000002
1993 460.294 482.714 616.442 777.578 828.62 10.7 10.892 12.254 13.684 14.01 -0.593999999999983 -0.357999999999981 1.02400000000001 2.30600000000002 2.51800000000002
1994 449.208 470.992 626.052 786.604 834.218 10.92 11.088 12.334 13.614 13.978 -0.51999999999997 -0.415999999999974 0.982000000000028 2.14800000000002 2.31400000000002
1995 459.308 490.402 619.012 778.11 790.032 10.77 11.14 12.464 13.766 14.01 -0.663999999999965 -0.493999999999983 1.01600000000003 2.19600000000001 2.44600000000003
1996 431.436 455.376 610.602 781.042 840.924 10.754 11.104 12.56 14.03 14.514 -0.733999999999969 -0.339999999999964 1.23000000000003 2.45600000000002 2.81000000000002
1997 434.246 479.962 626.242 787.054 818.394 10.972 11.1 12.512 13.788 14.042 -0.72199999999998 -0.421999999999969 1.08400000000001 2.38000000000003 2.66600000000002
1998 445.84 487.36 600.704 751.752 784.662 11.072 11.26 12.532 13.596 14.232 -0.547999999999979 -0.199999999999977 0.960000000000036 2.03000000000003 2.35600000000001
1999 441.062 455.182 603.826 770.256 789.86 11.152 11.37 12.758 14.266 14.606 -0.25999999999998 -0.0199999999999818 1.23800000000002 2.50800000000003 2.68800000000002
2000 452.372 464.238 604.946 756.104 788.986 10.982 11.27 12.718 13.846 14.22 -0.749999999999977 -0.351999999999975 1.22000000000003 2.43800000000002 2.65200000000002
2001 460.484 476.682 617.98 790.17 830.622 10.964 11.336 12.702 13.862 14.072 -0.263999999999976 0.19200000000003 1.31600000000002 2.37200000000003 2.50400000000002
2002 432.108 488.312 629.342 797.836 845.254 11.098 11.352 12.7 14.126 14.524 -0.207999999999981 0.200000000000023 1.36400000000003 2.59600000000002 2.94400000000003
2003 459.104 484.2 618.562 806.498 849.464 10.87 11.34 12.812 14.126 14.444 -0.265999999999985 0.100000000000011 1.33200000000003 2.52400000000001 2.85600000000002
