"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 454.2975 479.325 622.5325 815.3375 873.8875 10.19 10.5475 11.9125 13.255 13.365 -1.30999999999999 -0.942499999999967 0.510000000000019 1.67500000000004 1.89750000000002
1983 436.5375 465.51 605.0775 763.6575 819.75 10.3475 10.75 11.99 13.175 13.5425 -0.88749999999996 -0.61999999999999 0.490000000000038 1.79500000000002 1.93000000000002
1984 421.295 456.665 583.8125 738.2375 781.09 10.875 11.225 12.4825 13.6075 14.0975 -0.779999999999987 -0.657499999999956 0.985000000000028 2.14500000000001 2.34000000000002
1985 403.6675 467.075 624.915 793.2575 805.6 10.58 10.81 12.2875 13.7425 14.08 -0.809999999999988 -0.312499999999972 1.03500000000003 2.13500000000002 2.44500000000002
1986 458.0025 478.5625 618.7025 784.34 822.8 10.5225 10.82 12.345 13.6825 13.9 -1.14749999999999 -0.602499999999978 0.910000000000025 2.15000000000002 2.36000000000001
1987 469.2275 491.0525 635.7375 788.4275 808.345 10.3 10.44 12.0725 13.285 13.3975 -0.927499999999981 -0.687499999999972 0.73250000000003 1.82750000000003 2.00000000000003
1988 452.08 474.43 611.7625 759.465 792.7075 10.86 10.9775 12.4625 13.665 14.0675 -0.502499999999969 -0.212499999999991 1.11750000000001 2.15750000000003 2.44000000000003
1989 457.25 485.56 617.6125 798.2225 825.0175 10.375 10.7875 12.1275 13.34 13.7425 -1.03499999999998 -0.832499999999968 0.955000000000027 1.98500000000001 2.32500000000002
1990 461.31 504.4625 633.205 794.6875 836.9325 10.18 10.5875 11.8675 13.3825 13.95 -1.22499999999999 -0.882499999999979 0.710000000000022 2.13000000000002 2.65250000000003
1991 470.94 477.93 621.81 784.175 828.015 10.1825 10.4625 12.05 13.41 13.5075 -1.08999999999997 -0.65749999999997 0.717500000000015 1.95250000000001 2.31250000000001
1992 449.9175 488.58 619.8725 780.275 811.33 10.3 10.445 12.0775 13.36 13.645 -1.09249999999999 -0.627499999999969 0.822500000000034 1.94750000000003 2.32750000000001
1993 459.3825 480.4225 608.185 767.925 823.97 10.7375 10.935 12.345 13.78 14.0625 -0.602499999999978 -0.33499999999998 1.12250000000002 2.41250000000002 2.57750000000001
1994 442.11 464.25 625.0525 781.6925 825.8525 11.08 11.235 12.34 13.6825 13.875 -0.322499999999962 -0.20999999999998 1.00500000000002 2.15250000000003 2.34500000000003
1995 449.54 476.92 611.51 768.805 781.3175 10.935 11.26 12.5 13.84 14.045 -0.614999999999966 -0.429999999999978 1.02250000000004 2.23500000000001 2.38000000000002
1996 426.435 453.74 600.0825 777.2575 839.0875 10.8575 11.2625 12.7175 14.1 14.59 -0.64249999999997 -0.274999999999963 1.33000000000003 2.58000000000001 2.91750000000003
1997 435.615 479.5425 622.25 786.1 813.3725 11.035 11.15 12.545 13.7775 14.0825 -0.717499999999987 -0.34499999999997 1.12250000000002 2.41500000000003 2.66250000000002
1998 429.0875 472.41 582.3225 725.9725 753.85 11.0975 11.2975 12.6325 13.7325 14.3675 -0.542499999999976 -0.257499999999979 0.960000000000036 2.11250000000003 2.49250000000001
1999 439.3575 450.22 587.4175 756.485 779.6475 11.2525 11.52 12.9175 14.3 14.715 -0.197499999999977 0.100000000000023 1.27250000000002 2.49750000000003 2.72000000000003
2000 441.9925 454.69 589.17 744.2275 771.3325 11.0925 11.325 12.9075 13.9 14.26 -0.644999999999982 -0.252499999999969 1.27250000000002 2.53500000000003 2.71750000000002
