"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 449.391 482.304 635.046 809.59 845.163 9.97200000000002 10.266 11.781 13.146 13.313 -1.45799999999998 -1.06599999999997 0.392000000000024 1.70200000000003 2.06200000000003
1983 424.357 467.632 625.54 801.807 861.619 10.009 10.332 11.717 13.001 13.347 -1.19299999999997 -0.921999999999991 0.357000000000033 1.60000000000002 1.85400000000002
1984 448.757 485.426 622.676 783.258 819.173 10.225 10.504 11.899 13.178 13.498 -1.22799999999998 -0.992999999999972 0.533000000000027 1.73100000000002 1.99500000000002
1985 442.377 478.324 635.768 806.361 835.804 10.147 10.435 11.836 13.398 13.642 -1.31399999999997 -0.850999999999971 0.624000000000029 1.82900000000003 2.08100000000003
1986 464.68 491.421 634.553 787.637 821.402 10.183 10.416 11.944 13.147 13.456 -1.50499999999998 -1.00099999999997 0.623000000000019 1.71300000000002 1.99100000000001
1987 455.875 492.274 634.703 799.905 847.213 9.87800000000002 10.175 11.733 13.154 13.464 -1.25199999999998 -0.999999999999977 0.453000000000031 1.70000000000002 1.97400000000003
1988 454.402 483.768 640.143 792.457 830.632 10.166 10.419 11.822 13.217 13.511 -1.07399999999997 -0.804999999999978 0.608000000000021 1.78100000000003 2.07400000000002
1989 457.655 482.492 633.226 808.752 834.077 10.077 10.468 11.853 13.275 13.586 -1.37599999999998 -1.12399999999997 0.703000000000031 1.89700000000001 2.13000000000002
1990 445.972 480.802 627.754 805.656 852.602 10.05 10.423 11.908 13.549 14.087 -1.29199999999998 -0.919999999999976 0.628000000000026 2.06500000000003 2.48500000000003
1991 466.965 481.212 630.613 794.999 843.329 10.339 10.633 12.077 13.515 13.622 -1.18199999999998 -0.659999999999968 0.77800000000002 1.96100000000002 2.29100000000002
1992 479.069 502.048 637.057 784.628 833.048 10.253 10.477 11.99 13.41 13.603 -1.10999999999999 -0.771999999999974 0.751000000000028 1.97200000000003 2.27800000000003
1993 449.712 484.599 622.416 801.055 843.702 10.413 10.691 12.193 13.509 13.725 -0.924999999999972 -0.649999999999977 0.885000000000019 2.17900000000001 2.38900000000002
1994 461.4 477.627 628.106 789.893 828.728 10.564 10.786 12.263 13.568 13.844 -0.817999999999972 -0.570999999999975 0.898000000000019 2.14900000000002 2.31800000000002
1995 459.523 494.183 636.048 801.708 833.615 10.527 10.874 12.296 13.677 13.916 -0.88899999999997 -0.642999999999984 0.932000000000028 2.18500000000002 2.38700000000002
1996 449.751 470.097 620.78 787.931 834.588 10.514 10.861 12.361 13.851 14.184 -0.980999999999972 -0.636999999999972 1.04200000000003 2.21700000000002 2.52100000000003
1997 424.278 477.486 630.857 795.882 828.849 10.77 10.924 12.36 13.786 14.19 -0.785999999999984 -0.511999999999972 0.975000000000017 2.22100000000003 2.48900000000002
1998 453.829 486.373 620.751 781.163 812.928 10.706 11.002 12.376 13.567 14.038 -0.917999999999978 -0.449999999999977 0.894000000000028 2.03600000000002 2.33500000000002
1999 432.57 464.203 621.854 777.431 828.969 10.917 11.111 12.55 14.097 14.388 -0.550999999999982 -0.242999999999978 1.11900000000002 2.37700000000003 2.60000000000002
2000 429.005 454.707 621.221 789.373 829.795 10.64 11.018 12.579 13.81 14.307 -0.963999999999982 -0.452999999999975 1.15900000000002 2.35900000000002 2.55600000000002
2001 470.197 493.465 629.159 808.362 844.679 10.762 11.035 12.551 13.842 14.066 -0.588999999999976 -0.120999999999975 1.21500000000003 2.36700000000002 2.55400000000002
2002 446.006 487.382 638.709 794.37 846.964 10.9 11.181 12.637 13.969 14.359 -0.529999999999978 -0.0709999999999695 1.29800000000002 2.48500000000003 2.83400000000001
2003 457.065 483.971 625.49 814.43 864.494 10.76 11.15 12.614 13.995 14.311 -0.481999999999977 -0.170999999999981 1.28100000000002 2.40900000000001 2.68400000000003
2004 441.793 474.138 631.12 800.511 847.813 10.864 11.229 12.712 13.993 14.217 -0.458999999999992 -0.106999999999982 1.28900000000003 2.47900000000002 2.71200000000002
2005 443.743 480.878 636.25 788.181 835.831 11.096 11.467 12.752 14.119 14.301 -0.441999999999973 -0.0639999999999702 1.38000000000001 2.62800000000003 2.81300000000003
2006 472.927 495.619 636.081 804.364 873.296 10.92 11.138 12.838 14.074 14.384 -0.481999999999977 -0.0369999999999891 1.45400000000002 2.59700000000001 2.82500000000002
2007 477.764 511.749 636.799 810.039 853.229 11.211 11.344 12.857 14.097 14.348 -0.170999999999981 0.0160000000000196 1.47500000000002 2.66000000000002 2.92200000000001
2008 451.444 483.387 630.784 813.358 847.573 11.187 11.355 12.795 14.38 14.7 -0.532999999999976 -0.105999999999972 1.46000000000002 2.76400000000003 2.96000000000002
2009 467.371 490.162 632.156 800.166 841.737 11.13 11.362 12.925 14.326 14.565 -0.507999999999981 0.0160000000000196 1.52400000000002 2.65500000000002 2.94800000000002
2010 433.543 472.022 635.835 789.336 814.027 11.209 11.374 12.964 14.358 14.822 -0.38499999999998 0.0350000000000193 1.57200000000001 2.81600000000001 3.10000000000003
2011 456.733 484.979 630.797 804.728 848.199 11.21 11.472 12.965 14.304 14.427 -0.230999999999978 0.114000000000027 1.55000000000001 2.72000000000003 2.89100000000003
2012 476.702 504.237 649.472 806.856 849.759 11.05 11.573 12.883 14.338 14.594 -0.312999999999983 0.245000000000022 1.63800000000002 2.88100000000001 3.17300000000002
2013 457.679 489.145 655.317 805.446 856.007 11.052 11.512 12.833 14.344 14.723 -0.573999999999984 0.11600000000002 1.52900000000003 2.80900000000003 3.03200000000003
2014 475.522 511.531 646.066 803.673 838.821 11.43 11.591 13.002 14.34 14.563 0.0510000000000275 0.33400000000002 1.64500000000003 2.86300000000002 3.07400000000003
2015 466.267 509.568 660.131 827.666 868.058 11.267 11.485 13.017 14.385 14.753 -0.206999999999977 0.31600000000002 1.77600000000002 2.93500000000002 3.18900000000002
2016 471.799 501.439 644.98 813.389 868.077 11.394 11.792 13.161 14.45 14.686 0.177000000000015 0.433000000000027 1.86500000000002 3.07700000000003 3.23500000000003
2017 468.072 512.695 650.382 810.152 855.264 11.538 11.801 13.232 14.631 14.948 -0.0399999999999693 0.515000000000026 1.96400000000002 3.09600000000002 3.39700000000003
2018 469.271 509.03 659.991 821.936 855.168 11.342 11.851 13.39 14.719 15.027 -0.0339999999999804 0.368000000000023 2.06100000000003 3.17300000000002 3.41900000000002
