"wyears" "pcp.min" "pcp.X5th" "pcp.med" "pcp.X95th" "pcp.max" "tmax.min" "tmax.X5th" "tmax.med" "tmax.X95th" "tmax.max" "tmin.min" "tmin.X5th" "tmin.med" "tmin.X95th" "tmin.max"
1982 449.143333333333 468.483333333333 620.886666666667 809.293333333333 887.186666666667 10.0666666666667 10.52 11.9033333333333 13.1033333333334 13.2433333333333 -1.26333333333332 -0.973333333333301 0.553333333333361 1.59666666666671 1.70666666666669
1983 419.976666666667 454.93 598.32 764.77 779.47 10.42 10.87 12.0166666666667 13.1533333333333 13.57 -0.966666666666621 -0.656666666666657 0.476666666666707 1.77666666666668 1.93333333333336
1984 407.503333333333 448.466666666667 568.976666666667 723.673333333333 749.233333333333 10.8866666666667 11.32 12.6066666666667 13.5733333333333 14.21 -0.703333333333319 -0.609999999999957 1.03666666666669 2.05333333333334 2.31000000000002
1985 424.286666666667 455.236666666667 621.216666666667 797.703333333333 811.96 10.6366666666667 10.94 12.4333333333334 13.72 14.07 -0.423333333333327 -0.109999999999976 1.15333333333336 2.02666666666668 2.40666666666669
1986 447.896666666667 475.023333333333 608.68 775.923333333333 818.93 10.5166666666667 10.9033333333334 12.4066666666667 13.8166666666667 13.9133333333334 -1.13333333333333 -0.446666666666639 0.936666666666686 2.26333333333336 2.36000000000001
1987 472.073333333333 482.016666666667 640.71 780.156666666667 802.073333333333 10.2666666666667 10.34 12.0266666666667 13.23 13.3633333333334 -1.03999999999998 -0.723333333333301 0.686666666666705 1.7966666666667 1.9266666666667
1988 450.923333333333 475.076666666667 599.583333333333 728.986666666667 766.276666666667 11.1166666666667 11.22 12.61 13.8066666666667 14.2833333333334 -0.319999999999974 0.0100000000000099 1.12 2.22333333333336 2.53666666666669
1989 436.936666666667 471.5 594.886666666667 759.353333333333 786.103333333333 10.7766666666667 11.2966666666667 12.61 13.62 13.8866666666667 -0.616666666666655 -0.43666666666663 1.22333333333336 2.17666666666668 2.39000000000002
1990 462.86 513.663333333333 624.74 790.696666666667 829.59 10.3333333333334 10.8333333333334 12.0833333333334 13.5266666666667 14.16 -0.876666666666665 -0.693333333333309 0.840000000000013 2.28333333333336 2.93000000000003
1991 458.566666666667 465.28 617.783333333333 772.82 821.946666666667 10.2766666666667 10.6233333333334 12.0766666666667 13.38 13.5066666666667 -0.926666666666639 -0.573333333333304 0.726666666666688 1.94000000000002 2.27000000000002
1992 459.856666666667 479.53 613.81 787.416666666667 819.076666666667 10.27 10.4433333333334 12.0933333333334 13.2166666666667 13.3733333333334 -1.14666666666667 -0.599999999999966 0.880000000000033 1.79333333333337 2.14333333333335
1993 458.583333333333 478.126666666667 594.21 749.336666666667 817.533333333333 10.6633333333334 10.9133333333334 12.46 13.81 13.97 -0.749999999999981 -0.399999999999977 1.20000000000001 2.36333333333336 2.49333333333334
1994 459.423333333333 477.446666666667 622.246666666667 747.573333333333 801.186666666667 11.1866666666667 11.2566666666667 12.4 13.65 13.83 -0.253333333333292 -0.196666666666639 1.01000000000003 2.17333333333337 2.41000000000003
1995 454.92 487.253333333333 602.493333333333 754.376666666667 768.023333333333 10.9633333333334 11.2733333333333 12.5166666666667 13.89 14.0366666666667 -0.576666666666635 -0.44999999999997 0.983333333333367 2.18666666666669 2.34000000000003
1996 408.986666666667 431.19 582.723333333333 754.633333333333 823.826666666667 10.9866666666667 11.35 12.8866666666667 14.2066666666667 14.64 -0.71999999999997 -0.236666666666622 1.41666666666669 2.65000000000002 2.82333333333336
1997 422.303333333333 475.64 626.87 779.91 808.773333333333 10.96 11.1133333333333 12.5266666666667 13.8133333333334 14.0333333333333 -0.679999999999988 -0.296666666666643 1.10000000000002 2.3766666666667 2.68666666666669
1998 398.1 453.01 557.106666666667 699.446666666667 709.96 11.3333333333333 11.48 12.79 13.7566666666667 14.3433333333334 -0.436666666666648 -0.286666666666652 0.936666666666705 2.0666666666667 2.30333333333334
1999 422.256666666667 435.49 567.513333333333 727.773333333333 750.406666666667 11.2366666666667 11.57 13.0666666666667 14.4366666666667 14.8066666666667 -0.303333333333304 0.0433333333333508 1.28333333333336 2.55666666666669 2.76333333333336
2000 425.76 440.593333333333 569.053333333333 703.623333333333 737.753333333333 11.47 11.7333333333333 13.1133333333334 14.0466666666667 14.5133333333334 -0.49333333333332 3.78956137032493e-14 1.31000000000002 2.60333333333335 2.83666666666668
2001 449.6 463.536666666667 602.383333333333 792.976666666667 847.163333333333 11.0833333333334 11.5166666666667 12.9266666666667 14.0033333333333 14.3033333333334 0.0466666666667 0.363333333333363 1.47666666666669 2.52000000000002 2.69333333333335
2002 418.1 487.75 639.74 783.9 835.356666666667 11.3166666666667 11.5566666666667 12.75 14.1533333333334 14.3533333333334 -0.109999999999976 0.423333333333346 1.49666666666669 2.55666666666669 2.71333333333337
2003 435.133333333333 470.946666666667 602.643333333333 762.55 825.476666666667 11.1666666666667 11.6633333333334 12.98 14.3366666666667 14.7133333333333 -0.166666666666648 0.346666666666674 1.41666666666669 2.60666666666668 2.94333333333335
2004 434.8 451.476666666667 592.703333333333 746.643333333333 792.703333333333 11.1 11.6366666666667 13.0433333333334 14.2666666666667 14.4 -0.0366666666666523 0.223333333333358 1.5066666666667 2.64000000000002 2.78666666666671
2005 446.403333333333 470.433333333333 620.406666666667 764.326666666667 813.976666666667 11.4066666666667 11.7166666666667 13 14.1166666666667 14.3 -0.153333333333308 -0.00999999999997196 1.62666666666667 2.59333333333336 2.70666666666671
2006 473.006666666667 499.616666666667 621.006666666667 793.38 869.83 10.8866666666667 11.1733333333334 13 14.17 14.3666666666667 -0.469999999999989 -0.056666666666653 1.68000000000003 2.67666666666668 2.71000000000002
2007 482.656666666667 511.566666666667 617.816666666667 784.92 809.543333333333 11.5033333333333 11.64 13.0366666666667 14.1966666666667 14.3366666666667 0.133333333333345 0.200000000000008 1.66666666666669 2.95333333333336 3.03666666666667
2008 433.57 456.683333333333 579.49 732.873333333333 769.333333333333 11.87 11.8966666666667 13.14 14.5266666666667 14.7266666666667 -0.0133333333333023 0.256666666666699 1.59666666666669 2.65333333333336 2.75333333333337
2009 444.053333333333 472.093333333333 595.253333333333 738.67 814.473333333333 11.5633333333334 11.8133333333334 13.2466666666667 14.5733333333334 15.0533333333334 -0.206666666666649 0.233333333333348 1.65333333333335 2.75333333333337 2.94333333333335
2010 416.416666666667 442.33 592.95 706.986666666667 721.91 11.5866666666667 11.88 13.3566666666667 14.4333333333334 14.8933333333334 -0.246666666666651 0.130000000000014 1.75000000000002 2.87000000000002 3.00000000000002
2011 435.036666666667 449.85 585.083333333333 725.63 754.943333333333 11.77 11.9633333333333 13.4133333333334 14.44 14.5333333333333 0.0600000000000212 0.433333333333356 1.71000000000002 2.76666666666669 3.02333333333337
2012 463.336666666667 494.956666666667 623.413333333333 772.453333333333 816.433333333333 11.3866666666667 11.8733333333334 13.0766666666667 14.48 14.7566666666667 0.103333333333353 0.486666666666679 1.79333333333335 3.01666666666669 3.20000000000003
2013 489.92 497.58 643.203333333333 793.696666666667 835.023333333333 10.89 11.65 12.9133333333334 14.25 14.5966666666667 -0.916666666666648 0.376666666666684 1.62000000000002 2.80000000000003 2.92333333333337
2014 454.42 494.483333333333 640.893333333333 823.46 858.97 11.4766666666667 11.61 13.1166666666667 14.81 14.9833333333334 0.180000000000026 0.323333333333361 1.75000000000004 3.13333333333336 3.48000000000004
2015 512.27 545.77 677.613333333333 827.773333333333 884.22 11.3733333333334 11.5566666666667 12.8733333333334 14.1266666666667 14.3066666666667 0.136666666666694 0.343333333333343 1.74666666666669 2.85666666666668 2.91666666666669
2016 439.836666666667 477.153333333333 602.733333333333 763.69 791.46 11.85 12.2033333333334 13.4166666666667 14.4766666666667 14.5366666666667 0.413333333333336 0.623333333333373 1.92000000000002 3.13666666666669 3.23000000000002
2017 471.6 530.096666666667 639.983333333333 798.136666666667 819.45 11.74 11.9866666666667 13.37 14.63 14.8333333333334 -0.0166666666666326 0.496666666666689 2.01333333333336 3.11666666666669 3.32333333333336
2018 487.76 512.05 633 824.96 856.436666666667 11.64 12.1433333333334 13.55 14.8533333333334 15.08 0.403333333333364 0.760000000000029 2.16000000000003 3.2766666666667 3.44333333333337
